kind,model,family,auprc,base,n,lo,hi,ppos
escalation,rf,history,0.17505396491537759,0.03732623010792025,87472.0,,,
escalation,rf,gkg,0.10482970598292127,0.03732623010792025,87472.0,,,
escalation,rf,history+gkg,0.1753439204695634,0.03732623010792025,87472.0,,,
escalation,rf,history+text,0.17400226372500613,0.03732623010792025,87472.0,,,
escalation,rf,all,0.1741737528396144,0.03732623010792025,87472.0,,,
escalation,rf,emb_over_history,0.00028995555418581676,,,-0.006872325219599967,0.007874149878891016,0.525
escalation,rf,emb_over_hist+news,0.00017148911460826421,,,-0.006612435517461809,0.00782568325013619,0.516
escalation,l2,history,0.1475255442641114,0.03732623010792025,87472.0,,,
escalation,l2,gkg,0.09915804339011837,0.03732623010792025,87472.0,,,
escalation,l2,history+gkg,0.14960778376482536,0.03732623010792025,87472.0,,,
escalation,l2,history+text,0.1475255545986179,0.03732623010792025,87472.0,,,
escalation,l2,all,0.15105967967354067,0.03732623010792025,87472.0,,,
escalation,l2,emb_over_history,0.002082239500713956,,,-0.0006554923223426531,0.004700149295229158,0.894
escalation,l2,emb_over_hist+news,0.0035341250749227615,,,8.17899489716334e-05,0.007055446841262656,0.955
onset,rf,history,0.02477985352422235,0.018392889533829133,27565.0,,,
onset,rf,gkg,0.01945769355149591,0.018392889533829133,27565.0,,,
onset,rf,history+gkg,0.023111287058314924,0.018392889533829133,27565.0,,,
onset,rf,history+text,0.023185594444528643,0.018392889533829133,27565.0,,,
onset,rf,all,0.023242430543158835,0.018392889533829133,27565.0,,,
onset,rf,emb_over_history,-0.001668566465907427,,,-0.008121124524401953,0.003742253392593823,0.308
onset,rf,emb_over_hist+news,5.68360986301919e-05,,,-0.006421164069970593,0.0051388869038830965,0.502
onset,l2,history,0.02133974538673436,0.018392889533829133,27565.0,,,
onset,l2,gkg,0.020561587452740088,0.018392889533829133,27565.0,,,
onset,l2,history+gkg,0.021714648765972216,0.018392889533829133,27565.0,,,
onset,l2,history+text,0.02133974538673436,0.018392889533829133,27565.0,,,
onset,l2,all,0.024974380928050894,0.018392889533829133,27565.0,,,
onset,l2,emb_over_history,0.00037490337923785574,,,-0.0016939127703531045,0.0028788910594962024,0.642
onset,l2,emb_over_hist+news,0.003634635541316534,,,-0.0004398646233440233,0.008352376628502906,0.922
