kind,model,family,persistence,climatology,base,n
onset,0.02477985352422235,history,0.018392889533829133,0.020653771076576594,0.018392889533829133,27565
onset,0.019776885992572015,richtext,0.018392889533829133,0.020653771076576594,0.018392889533829133,27565
onset,0.02459261200607123,history+richtext,0.018392889533829133,0.020653771076576594,0.018392889533829133,27565
onset,0.02133974538673436,history,0.018392889533829133,0.020653771076576594,0.018392889533829133,27565
onset,0.0228078841587893,richtext,0.018392889533829133,0.020653771076576594,0.018392889533829133,27565
onset,0.024204136555570063,history+richtext,0.018392889533829133,0.020653771076576594,0.018392889533829133,27565
escalation,0.17505396491537759,history,0.10679881631304594,0.12837420212021933,0.03732623010792025,87472
escalation,0.08470402120677839,richtext,0.10679881631304594,0.12837420212021933,0.03732623010792025,87472
escalation,0.181426587741373,history+richtext,0.10679881631304594,0.12837420212021933,0.03732623010792025,87472
escalation,0.1475255442641114,history,0.10679881631304594,0.12837420212021933,0.03732623010792025,87472
escalation,0.0846366222601872,richtext,0.10679881631304594,0.12837420212021933,0.03732623010792025,87472
escalation,0.15047394334412317,history+richtext,0.10679881631304594,0.12837420212021933,0.03732623010792025,87472
occurrence,0.8008039855539055,history,0.5307737728745356,0.6653371925008502,0.19950384122919335,87472
occurrence,0.45879085243936335,richtext,0.5307737728745356,0.6653371925008502,0.19950384122919335,87472
occurrence,0.8027776922124441,history+richtext,0.5307737728745356,0.6653371925008502,0.19950384122919335,87472
occurrence,0.7751002052455188,history,0.5307737728745356,0.6653371925008502,0.19950384122919335,87472
occurrence,0.40252742358433824,richtext,0.5307737728745356,0.6653371925008502,0.19950384122919335,87472
occurrence,0.7750083693083287,history+richtext,0.5307737728745356,0.6653371925008502,0.19950384122919335,87472
