variant,model,base,n,marginal,lo,hi
"escal frozen (8,1s,+2)",rf,0.03732623010792025,87472,0.006372622825995405,0.0018132426900195773,0.01093495898204737
"escal frozen (8,1s,+2)",l2,0.03732623010792025,87472,0.0029483990800117654,0.0012933431052151584,0.004937789727834981
escal window=12,rf,0.03669745747210536,87472,0.011195033424203388,0.005934922150438293,0.016200762547996465
escal window=12,l2,0.03669745747210536,87472,0.0030306615962915617,0.0009865044454803618,0.004758718436506821
escal sigma=2,rf,0.023756173404060728,87472,0.005687646873086011,0.0023193603962613036,0.008656129808176965
escal sigma=2,l2,0.023756173404060728,87472,0.0012292726701817885,-0.00020242747934541696,0.0023371653131727997
escal floor=3,rf,0.02743735138101335,87472,0.006191524331257026,0.0006667347569875568,0.011971460021869447
escal floor=3,l2,0.02743735138101335,87472,0.003445260448704912,0.0011457302253363804,0.005480311602507703
onset calm=24 (frozen),rf,0.018392889533829133,27565,-0.00018724151815112042,-0.006428740377327172,0.004160946210223646
onset calm=24 (frozen),l2,0.018392889533829133,27565,0.002864391168835703,-0.0004912030021410324,0.008568481702586938
onset calm=12,rf,0.02379348505990473,41566,0.00043298910606494323,-0.005283931992099582,0.004797388104894178
onset calm=12,l2,0.02379348505990473,41566,-0.0009379316902967325,-0.002108792850455564,0.0009803923036436895
onset calm=36,rf,0.017995976730277825,18393,-0.000576228058203565,-0.006718382790366948,0.005290733394843254
onset calm=36,l2,0.017995976730277825,18393,0.0021647702093377727,0.0003175875123699598,0.005503645886339619
