grid: 141 months x 994 units
escal frozen (8,1s,+2)       | RF | base 0.0373 n=87,472 | marginal +0.0064 | 90% CI [+0.0018, +0.0109]
escal frozen (8,1s,+2)       | L2 | base 0.0373 n=87,472 | marginal +0.0029 | 90% CI [+0.0013, +0.0049]
escal window=12              | RF | base 0.0367 n=87,472 | marginal +0.0112 | 90% CI [+0.0059, +0.0162]
escal window=12              | L2 | base 0.0367 n=87,472 | marginal +0.0030 | 90% CI [+0.0010, +0.0048]
escal sigma=2                | RF | base 0.0238 n=87,472 | marginal +0.0057 | 90% CI [+0.0023, +0.0087]
escal sigma=2                | L2 | base 0.0238 n=87,472 | marginal +0.0012 | 90% CI [-0.0002, +0.0023]
escal floor=3                | RF | base 0.0274 n=87,472 | marginal +0.0062 | 90% CI [+0.0007, +0.0120]
escal floor=3                | L2 | base 0.0274 n=87,472 | marginal +0.0034 | 90% CI [+0.0011, +0.0055]
onset calm=24 (frozen)       | RF | base 0.0184 n=27,565 | marginal -0.0002 | 90% CI [-0.0064, +0.0042]
onset calm=24 (frozen)       | L2 | base 0.0184 n=27,565 | marginal +0.0029 | 90% CI [-0.0005, +0.0086]
onset calm=12                | RF | base 0.0238 n=41,566 | marginal +0.0004 | 90% CI [-0.0053, +0.0048]
onset calm=12                | L2 | base 0.0238 n=41,566 | marginal -0.0009 | 90% CI [-0.0021, +0.0010]
onset calm=36                | RF | base 0.0180 n=18,393 | marginal -0.0006 | 90% CI [-0.0067, +0.0053]
onset calm=36                | L2 | base 0.0180 n=18,393 | marginal +0.0022 | 90% CI [+0.0003, +0.0055]

saved -> results/label_sensitivity.csv
